OBJECTID;Id;POINT_X;POINT_Y;POINT_Z;POINT_M;RASTERVALU
301;0;853646,789100000052713;988234,588800000026822;2406,314872989999913;nan;-3,9143906
302;0;853711,789100000052713;988234,588800000026822;2402,144568440000057;nan;-4,3469100
303;0;853776,789100000052713;988234,588800000026822;2390,740997200000038;nan;-4,9182305
304;0;853841,789100000052713;988234,588800000026822;2425,332947660000173;nan;-5,4174647
305;0;853906,789100000052713;988234,588800000026822;2466,660597609999968;nan;-5,9999046
306;0;853971,789100000052713;988234,588800000026822;2498,858262650000142;nan;-6,4813213
307;0;854036,789100000052713;988234,588800000026822;2533,741578069999832;nan;-7,0014014
308;0;854101,789100000052713;988234,588800000026822;2590,076541909999833;nan;-7,4471841
309;0;854166,789100000052713;988234,588800000026822;2625,807920839999952;nan;-7,9672637
310;0;854231,789100000052713;988234,588800000026822;2659,876746339999954;nan;-8,1348448
311;0;854296,789100000052713;988234,588800000026822;2682,882715839999946;nan;-8,2654419
312;0;854361,789100000052713;988234,588800000026822;2713,234758200000215;nan;-8,3773832
313;0;854426,789100000052713;988234,588800000026822;2736,413633029999801;nan;-8,4753466
314;0;854491,789100000052713;988234,588800000026822;2745,999907609999809;nan;-8,4893875
315;0;854556,789100000052713;988234,588800000026822;2733,788739650000025;nan;-8,5057688
316;0;854621,789100000052713;988234,588800000026822;2701,828475320000052;nan;-8,5198097
317;0;854686,789100000052713;988234,588800000026822;2689,392562210000051;nan;-8,4432964
318;0;854751,789100000052713;988234,588800000026822;2699,651072999999997;nan;-8,3458633
319;0;854816,789100000052713;988234,588800000026822;2719,406366640000215;nan;-8,2321920
320;0;854881,789100000052713;988234,588800000026822;2734,867058110000016;nan;-8,1141367
321;0;854946,789100000052713;988234,588800000026822;2739,715285700000095;nan;-7,8561039
322;0;855011,789100000052713;988234,588800000026822;2717,621387990000130;nan;-7,6349325
323;0;855076,789100000052713;988234,588800000026822;2675,611811629999920;nan;-7,3768997
324;0;855141,789100000052713;988234,588800000026822;2638,279561970000032;nan;-6,9546099
325;0;855206,789100000052713;988234,588800000026822;2601,038242449999871;nan;-6,3446198
326;0;855271,789100000052713;988234,588800000026822;2569,002227500000117;nan;-5,8217711
327;0;855336,789100000052713;988234,588800000026822;2538,046783660000074;nan;-5,1878533
328;0;855401,789100000052713;988234,588800000026822;2514,589271759999974;nan;-4,5214381
329;0;855466,789100000052713;988234,588800000026822;2513,429991909999899;nan;-3,7439535
330;0;855531,789100000052713;988234,588800000026822;2516,019040109999878;nan;-3,0775380
331;0;853646,789100000052713;988300,588800000026822;2403,850374050000028;nan;-3,6332340
332;0;853711,789100000052713;988300,588800000026822;2404,521675729999970;nan;-4,0718846
333;0;853776,789100000052713;988300,588800000026822;2387,672902469999826;nan;-4,6373787
334;0;853841,789100000052713;988300,588800000026822;2417,404790229999890;nan;-5,1297641
335;0;853906,789100000052713;988300,588800000026822;2455,677349510000113;nan;-5,7042141
